,mass,unit_cost,towing_speed,Turbine Rating
0,2567.0,12614193.0,6,12MW
1,2921.0,14693023.0,6,15MW
2,3297.0,16962422.0,6,17MW
3,3297.0,16962422.0,6,18MW
4,3561.0,18581226.0,6,20MW
