,mass,unit_cost,towing_speed,Turbine Rating
0,5939.0,15225646.0,6,12MW
1,6543.0,17946012.0,6,15MW
2,6952.0,19783406.0,6,17MW
3,7135.0,20610650.0,6,18MW
4,7485.0,22184437.0,6,20MW
