
wave_height,2.20656735,0.981031416,1.182770673,1.614525694,1.786838385,1.672907811,2.333697373,1.381413225,
20,57.06989184,56.92655112,56.13104365,56.89066983,57.16165431,56.8961246,58.86716169,57.25890987,
40,57.90889969,58.21309215,57.49968093,57.52108415,57.64121608,58.12374554,60.39044452,56.79929341,
60,60.21129121,59.15080786,60.24519074,59.57029695,60.74592963,60.77981294,62.2212844,59.3595494,
80,60.80440019,60.80440019,60.666426,60.46152526,61.17071714,61.3513262,63.33050163,60.47765666,
100,63.09257621,60.4005653,62.33272765,62.24845897,64.14751946,62.73925358,64.64142095,63.17773504,
150,65.43296854,60.27589287,62.9281043,63.35358819,64.90905967,63.98115062,67.68351135,63.86185276,
200,66.87256883,60.33585112,66.58296913,64.9080743,65.57169912,66.7916293,68.23167025,65.71242327,
250,68.67400855,60.95937447,67.44007192,67.19089915,66.68423598,67.48962284,70.74590828,67.22638652,
300,71.19963125,60.4280971,68.87087067,68.85612003,71.33460487,69.93100156,72.52480998,69.03130219,
350,73.22378026,60.62228687,71.37793339,69.16515818,70.48986398,73.80766776,75.31084022,71.22965105,
400,73.49167015,60.56784988,73.56371947,71.22409712,76.64258655,74.67346674,75.68358201,72.95310861
